Timestamp Start,Open,High,Low,Close,Volume,Timestamp End,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-01-22,91.08,91.9,82.06,83.84,7065444.82,2024-01-22 23:59:59.999,613926823.3588,708563,3395322.41,295056728.9826,0
2024-01-23,83.84,86.0,79.0,84.35,8284305.33,2024-01-23 23:59:59.999,677658028.8172,830273,4120348.42,337302292.5491,0
2024-01-24,84.36,89.47,83.3,88.77,6058894.15,2024-01-24 23:59:59.999,522038046.019,591745,3133569.06,270094314.5477,0
2024-01-25,88.77,89.64,85.09,86.91,4002698.2,2024-01-25 23:59:59.999,350394786.4719,475624,2000334.88,175170645.3178,0
2024-01-26,86.9,93.72,85.96,92.28,4693818.55,2024-01-26 23:59:59.999,425941268.207,560673,2402891.58,218010448.5773,0
2024-01-27,92.29,94.5,90.68,94.28,2735837.45,2024-01-27 23:59:59.999,253216534.3118,302341,1423849.38,131819116.7793,0
2024-01-28,94.27,99.44,93.31,95.98,5618408.23,2024-01-28 23:59:59.999,541703113.8627,648842,2919224.19,281536683.6933,0
2024-01-29,95.99,101.98,95.06,101.68,5772519.82,2024-01-29 23:59:59.999,569954869.7252,634094,3007737.0,297076844.9659,0
2024-01-30,101.67,106.49,100.95,101.4,6990527.25,2024-01-30 23:59:59.999,726848061.3678,743499,3556509.31,369911937.0212,0
2024-01-31,101.4,102.73,95.9,96.96,8609956.87,2024-01-31 23:59:59.999,859420024.3337,914548,4288753.19,428288268.7705,0
2024-02-01,96.96,98.11,93.11,97.81,6556006.07,2024-02-01 23:59:59.999,627562058.6994,652301,3228196.33,309093273.8401,0
2024-02-02,97.81,102.57,97.39,100.58,5487861.84,2024-02-02 23:59:59.999,548625813.6662,580111,2751200.63,275124077.6304,0
2024-02-03,100.57,101.24,96.53,97.96,2787373.11,2024-02-03 23:59:59.999,274762025.0328,292310,1382286.53,136281901.0636,0
2024-02-04,97.95,98.59,95.08,95.49,2914876.34,2024-02-04 23:59:59.999,282911440.8033,295763,1423038.52,138173035.8601,0
2024-02-05,95.48,98.7,94.11,95.66,3891146.06,2024-02-05 23:59:59.999,375072768.1381,381857,1964214.86,189483103.3725,0
2024-02-06,95.66,97.88,92.88,96.88,4279238.07,2024-02-06 23:59:59.999,408309176.2014,407235,2154937.56,205595782.4337,0
